epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,7403.35,1.24615,0.8294,1.79597,0.00493,0.9772,1,0.99184,0.64018,0.88171,0.43113,1.44676,0.00088,0.00107288,0.00107288,0.00107288
38,7573.97,1.24966,0.78303,1.78612,0.00419,0.95812,0.99538,0.98932,0.61978,0.96259,0.4861,1.56806,0.00225,0.00105638,0.00105638,0.00105638
39,7742.44,1.23325,0.78222,1.79806,0.00484,0.97575,0.96964,0.98977,0.62474,0.9303,0.46726,1.49475,0.00136,0.00103987,0.00103987,0.00103987
40,7907.91,1.21035,0.77088,1.7914,0.00452,0.98069,0.97266,0.99058,0.63284,0.92237,0.4441,1.47933,0.00135,0.00102337,0.00102337,0.00102337
41,8074.7,1.1989,0.75488,1.76864,0.00372,0.9739,0.97207,0.98453,0.60178,0.92728,0.47272,1.48672,0.00105,0.00100687,0.00100687,0.00100687
42,8241.06,1.21775,0.76726,1.7988,0.00459,0.97045,0.99342,0.98955,0.64123,0.89631,0.48982,1.4766,0.00262,0.000990365,0.000990365,0.000990365
43,8407.05,1.18327,0.72443,1.76806,0.00281,0.96804,0.98684,0.99163,0.62899,0.89966,0.42969,1.4512,0.0027,0.000973861,0.000973861,0.000973861
44,8572.78,1.19876,0.78601,1.78716,0.0032,0.97509,0.98446,0.98115,0.64125,0.90248,0.43019,1.47219,0.00136,0.000957358,0.000957358,0.000957358
45,8738.6,1.17931,0.74124,1.76026,0.00371,0.97966,0.99013,0.98937,0.62334,0.91127,0.44778,1.48011,0.00179,0.000940855,0.000940855,0.000940855
46,8904.5,1.17977,0.76802,1.76752,0.00388,0.98234,0.98932,0.98515,0.62923,0.90261,0.50661,1.50604,0.00086,0.000924352,0.000924352,0.000924352
47,9070.42,1.18627,0.74018,1.78198,0.00313,0.97552,0.98322,0.98346,0.64029,0.87864,0.41953,1.45491,0.00069,0.000907848,0.000907848,0.000907848
48,9235.66,1.19998,0.73985,1.78108,0.00388,0.97583,0.97784,0.97504,0.63094,0.90561,0.42419,1.46537,0.00124,0.000891345,0.000891345,0.000891345
49,9401.62,1.1731,0.72722,1.77337,0.00397,0.97363,0.98845,0.98904,0.63998,0.88911,0.42335,1.46257,0.00048,0.000874842,0.000874842,0.000874842
50,9567.29,1.17976,0.74984,1.75183,0.00352,0.97064,0.98897,0.9873,0.64068,0.88214,0.42866,1.44549,0.00039,0.000858338,0.000858338,0.000858338
51,9733.4,1.1801,0.71947,1.75401,0.00418,0.9795,0.98755,0.98871,0.63817,0.89084,0.43851,1.48605,0.0014,0.000841835,0.000841835,0.000841835
52,9899.61,1.15094,0.7238,1.74955,0.00359,0.96827,0.98927,0.99008,0.64658,0.88835,0.44884,1.45337,0.00109,0.000825332,0.000825332,0.000825332
53,10065.5,1.1386,0.69271,1.73912,0.00362,0.98052,0.9852,0.99054,0.63637,0.90601,0.45243,1.4869,0.00075,0.000808828,0.000808828,0.000808828
54,10231.7,1.13876,0.72168,1.70763,0.00348,0.98299,0.98603,0.98966,0.64034,0.89432,0.43513,1.46736,0.00024,0.000792325,0.000792325,0.000792325
55,10399.3,1.16585,0.7259,1.74364,0.00398,0.98233,0.99261,0.98817,0.64144,0.89154,0.43485,1.45596,0.0006,0.000775822,0.000775822,0.000775822
56,10565.6,1.15162,0.68749,1.70966,0.00299,0.98254,0.99261,0.98886,0.62672,0.90308,0.412,1.46909,0.00063,0.000759318,0.000759318,0.000759318
57,10731.6,1.10746,0.69183,1.69372,0.00326,0.98009,0.99199,0.98956,0.64438,0.89099,0.40264,1.47096,0.00139,0.000742815,0.000742815,0.000742815
58,10897.6,1.12981,0.70586,1.71338,0.004,0.97571,0.99261,0.98649,0.64541,0.87794,0.43987,1.463,0.00078,0.000726312,0.000726312,0.000726312
59,11063.7,1.14252,0.68449,1.71993,0.00351,0.98091,0.98355,0.98731,0.63788,0.89876,0.44275,1.47222,0.00129,0.000709809,0.000709809,0.000709809
60,11230.2,1.14093,0.6947,1.71617,0.00336,0.98165,0.99195,0.98811,0.65035,0.89341,0.46907,1.45914,0.00125,0.000693305,0.000693305,0.000693305
61,11396.7,1.15045,0.72376,1.71222,0.00311,0.98393,0.99599,0.98951,0.63275,0.90139,0.50082,1.47658,0.00242,0.000676802,0.000676802,0.000676802
62,11562.9,1.12247,0.68273,1.69965,0.00336,0.97195,0.99149,0.98901,0.64101,0.88642,0.38477,1.46363,0.00233,0.000660299,0.000660299,0.000660299
63,11728.9,1.10315,0.67094,1.68066,0.00339,0.97564,0.99507,0.99012,0.64118,0.88232,0.4004,1.46698,0.00256,0.000643795,0.000643795,0.000643795
64,11894.9,1.11563,0.68952,1.72031,0.00256,0.97662,1,0.98703,0.63981,0.88663,0.40132,1.47442,0.00207,0.000627292,0.000627292,0.000627292
65,12061,1.11144,0.68172,1.66907,0.00286,0.97404,0.98833,0.98772,0.64673,0.86858,0.39076,1.44667,0.00137,0.000610789,0.000610789,0.000610789
66,12227.3,1.1053,0.69061,1.70068,0.00328,0.9818,0.99261,0.9906,0.63809,0.87733,0.48853,1.47201,0.00133,0.000594286,0.000594286,0.000594286
67,12393.3,1.07309,0.67451,1.66094,0.00266,0.97763,0.99548,0.99033,0.64174,0.88355,0.60324,1.46678,0.00049,0.000577782,0.000577782,0.000577782
68,12559.1,1.07327,0.65968,1.65807,0.0027,0.97096,0.98723,0.99069,0.64865,0.88878,0.59318,1.48547,0.00184,0.000561279,0.000561279,0.000561279
69,12725.3,1.07029,0.67121,1.65776,0.00311,0.98478,0.99215,0.99018,0.64646,0.86884,0.43598,1.47147,0.00037,0.000544776,0.000544776,0.000544776
70,12891.4,1.0871,0.64959,1.67117,0.0026,0.97598,0.98558,0.98853,0.64927,0.88449,0.42718,1.45503,0.00046,0.000528272,0.000528272,0.000528272
71,13057.4,1.0954,0.67191,1.6807,0.00334,0.97204,0.98603,0.98629,0.64523,0.88616,0.44131,1.4643,0.00036,0.000511769,0.000511769,0.000511769
72,13223.3,1.0307,0.63641,1.63732,0.00154,0.99017,0.99265,0.99288,0.6544,0.89098,0.40046,1.48073,0.00075,0.000495266,0.000495266,0.000495266
73,13389.6,1.06914,0.66152,1.64175,0.0026,0.98085,0.99654,0.98967,0.64585,0.87999,0.42623,1.4578,0.00109,0.000478762,0.000478762,0.000478762
74,13555.6,1.07361,0.64552,1.67279,0.00316,0.98043,0.99619,0.99049,0.64632,0.88738,0.42531,1.4773,0.00148,0.000462259,0.000462259,0.000462259
75,13721.6,1.05629,0.66435,1.64146,0.00229,0.97895,0.99361,0.98976,0.64824,0.88233,0.42333,1.46643,0.00119,0.000445756,0.000445756,0.000445756
76,13887.7,1.04567,0.65747,1.64807,0.00323,0.97611,0.97656,0.98856,0.64401,0.88451,0.42334,1.46309,0.00145,0.000429253,0.000429253,0.000429253
77,14053.7,1.04497,0.64966,1.65101,0.0025,0.98032,0.991,0.99066,0.64754,0.89049,0.41138,1.47785,0.00025,0.000412749,0.000412749,0.000412749
78,14219.9,1.0262,0.63004,1.62319,0.00341,0.978,0.99919,0.99093,0.64178,0.89353,0.40001,1.48256,0.00128,0.000396246,0.000396246,0.000396246
79,14385.9,1.0342,0.63012,1.62728,0.00266,0.98938,0.99013,0.99369,0.64393,0.88155,0.40366,1.4771,0.00092,0.000379743,0.000379743,0.000379743
80,14552.1,1.02202,0.63811,1.61162,0.00199,0.98182,0.98405,0.99353,0.64744,0.87514,0.38872,1.45928,0.00129,0.000363239,0.000363239,0.000363239
81,14718.2,1.02227,0.64174,1.62934,0.00265,0.98376,0.99342,0.99226,0.64832,0.87389,0.41736,1.46319,0.00229,0.000346736,0.000346736,0.000346736
82,14884.3,1.03251,0.64565,1.6311,0.00236,0.9818,1,0.99229,0.65053,0.88608,0.39916,1.47511,0.00134,0.000330233,0.000330233,0.000330233
83,15050.5,1.02951,0.63285,1.61434,0.00253,0.98235,0.99342,0.99211,0.65021,0.88024,0.39204,1.47484,0.00083,0.000313729,0.000313729,0.000313729
84,15216.2,0.98603,0.60309,1.57378,0.00277,0.97944,0.99261,0.99111,0.65212,0.88119,0.39771,1.47976,0.00111,0.000297226,0.000297226,0.000297226
85,15382.3,1.01013,0.61014,1.61777,0.00218,0.98675,0.99225,0.99331,0.64811,0.88853,0.40641,1.48439,0.00092,0.000280723,0.000280723,0.000280723
86,15548.1,1.02291,0.62129,1.6293,0.00274,0.97811,0.99261,0.99223,0.63775,0.89844,0.39077,1.49096,0.00038,0.00026422,0.00026422,0.00026422
87,15714.4,0.99497,0.59401,1.57299,0.00233,0.98388,0.98734,0.99292,0.65,0.87661,0.37336,1.47149,0.0006,0.000247716,0.000247716,0.000247716
88,15879.8,1.01357,0.63936,1.61117,0.00223,0.97305,0.9959,0.99311,0.64437,0.88221,0.38784,1.47405,0.00043,0.000231213,0.000231213,0.000231213
89,16046,1.02031,0.6195,1.6127,0.00253,0.98787,0.99198,0.99413,0.65155,0.89166,0.39876,1.4874,0.00115,0.00021471,0.00021471,0.00021471
90,16212.2,0.99417,0.62062,1.58744,0.00269,0.97191,0.9959,0.99289,0.64645,0.90038,0.40389,1.50238,0.00132,0.000198206,0.000198206,0.000198206
91,16376.7,0.9124,0.43864,1.6145,0.001,0.97157,0.99411,0.99294,0.6458,0.88784,0.44943,1.48973,0.00123,0.000181703,0.000181703,0.000181703
92,16541.3,0.88118,0.43366,1.61014,0.00107,0.97587,0.98702,0.99176,0.64615,0.88938,0.39317,1.48873,0.0014,0.0001652,0.0001652,0.0001652
